country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Argentina,AR,2024-03-24,TV,2,3 Body Problem,3 Body Problem: Season 1,1
Argentina,AR,2024-03-24,TV,3,The Gentlemen,The Gentlemen: Season 1,3
Argentina,AR,2024-03-24,TV,4,Bandidos,Bandidos: Season 1,2
Argentina,AR,2024-03-24,TV,5,Wrong Side of the Tracks,Wrong Side of the Tracks: Season 3,5
Argentina,AR,2024-03-24,TV,6,The Signal,The Signal: Limited Series,3
Argentina,AR,2024-03-24,TV,7,Physical: 100,Physical: 100: Season 2,1
Argentina,AR,2024-03-24,TV,8,Monk,Monk: Season 1,1
Argentina,AR,2024-03-24,TV,9,Avatar The Last Airbender,Avatar The Last Airbender: Season 1,5
Argentina,AR,2024-03-24,TV,10,ARA San Juan: The Submarine that Disappeared,ARA San Juan: The Submarine that Disappeared: Season 1,3
Argentina,AR,2024-03-17,Films,1,Damsel,N/A,2
Argentina,AR,2024-03-17,Films,2,Irish Wish,N/A,1
Argentina,AR,2024-03-17,Films,3,Art of Love,N/A,1
Argentina,AR,2024-03-17,Films,4,White Boy Rick,N/A,2
Argentina,AR,2024-03-17,Films,5,Dr. Seuss' The Grinch,N/A,2
Argentina,AR,2024-03-17,Films,6,The Back-Up Plan,N/A,1
Argentina,AR,2024-03-17,Films,7,Why Did I Get Married?,N/A,1
Argentina,AR,2024-03-17,Films,8,Cat & Dog,N/A,1
Argentina,AR,2024-03-17,Films,9,Spaceman,N/A,3
Argentina,AR,2024-03-17,Films,10,Halloween Kills,N/A,1
Argentina,AR,2024-03-17,TV,1,The Gentlemen,The Gentlemen: Season 1,2
Argentina,AR,2024-03-17,TV,2,The Signal,The Signal: Limited Series,2
Argentina,AR,2024-03-17,TV,3,ARA San Juan: The Submarine that Disappeared,ARA San Juan: The Submarine that Disappeared: Season 1,2
Argentina,AR,2024-03-17,TV,4,Bandidos,Bandidos: Season 1,1
Argentina,AR,2024-03-17,TV,5,Wrong Side of the Tracks,Wrong Side of the Tracks: Season 3,4
Argentina,AR,2024-03-17,TV,6,Iron Reign,Iron Reign: Season 1,1
Argentina,AR,2024-03-17,TV,7,Avatar The Last Airbender,Avatar The Last Airbender: Season 1,4
Argentina,AR,2024-03-17,TV,8,Furies,Furies: Season 1,2
Argentina,AR,2024-03-17,TV,9,Young Royals,Young Royals: Season 3,1
Argentina,AR,2024-03-17,TV,10,The Tourist,The Tourist: Season 2,3
Argentina,AR,2024-03-10,Films,1,Damsel,N/A,1
Argentina,AR,2024-03-10,Films,2,Spaceman,N/A,2
Argentina,AR,2024-03-10,Films,3,Dr. Seuss' The Grinch,N/A,1
Argentina,AR,2024-03-10,Films,4,Code 8 Part II,N/A,2
Argentina,AR,2024-03-10,Films,5,Goosebumps 2: Haunted Halloween,N/A,2
Argentina,AR,2024-03-10,Films,6,The Unholy,N/A,1
Argentina,AR,2024-03-10,Films,7,Untraceable,N/A,1
Argentina,AR,2024-03-10,Films,8,Despicable Me 3,N/A,5
Argentina,AR,2024-03-10,Films,9,Simón,N/A,1
Argentina,AR,2024-03-10,Films,10,Mea Culpa,N/A,3
Argentina,AR,2024-03-10,TV,1,ARA San Juan: The Submarine that Disappeared,ARA San Juan: The Submarine that Disappeared: Season 1,1
Argentina,AR,2024-03-10,TV,2,Wrong Side of the Tracks,Wrong Side of the Tracks: Season 3,3
Argentina,AR,2024-03-10,TV,3,The Gentlemen,The Gentlemen: Season 1,1
Argentina,AR,2024-03-10,TV,4,Furies,Furies: Season 1,1
Argentina,AR,2024-03-10,TV,5,The Signal,The Signal: Limited Series,1
Argentina,AR,2024-03-10,TV,6,Avatar The Last Airbender,Avatar The Last Airbender: Season 1,3
Argentina,AR,2024-03-10,TV,7,The Tourist,The Tourist: Season 2,2
Argentina,AR,2024-03-10,TV,8,Hot Wheels Let's Race,Hot Wheels Let's Race: Season 1,1
Argentina,AR,2024-03-10,TV,9,Alpha Males,Alpha Males: Season 2,5
Argentina,AR,2024-03-10,TV,10,Supersex,Supersex: Season 1,1
Argentina,AR,2024-03-03,Films,1,Code 8 Part II,N/A,1
Argentina,AR,2024-03-03,Films,2,Mea Culpa,N/A,2
Argentina,AR,2024-03-03,Films,3,Through My Window 3: Looking at You,N/A,2
Argentina,AR,2024-03-03,Films,4,The Abyss,N/A,3
Argentina,AR,2024-03-03,Films,5,Spaceman,N/A,1
Argentina,AR,2024-03-03,Films,6,Top Gun: Maverick,N/A,2
Argentina,AR,2024-03-03,Films,7,Ballerina,N/A,1
Argentina,AR,2024-03-03,Films,8,Despicable Me 3,N/A,4
Argentina,AR,2024-03-03,Films,9,There Is a What-If,N/A,1
Argentina,AR,2024-03-03,Films,10,Code 8,N/A,1
Argentina,AR,2024-03-03,TV,1,Wrong Side of the Tracks,Wrong Side of the Tracks: Season 3,2
Argentina,AR,2024-03-03,TV,2,Avatar The Last Airbender,Avatar The Last Airbender: Season 1,2
Argentina,AR,2024-03-03,TV,3,Alpha Males,Alpha Males: Season 2,4
Argentina,AR,2024-03-03,TV,4,One Day,One Day: Limited Series,4
Argentina,AR,2024-03-03,TV,5,The Tourist,The Tourist: Season 2,1
Argentina,AR,2024-03-03,TV,6,Warrior,Warrior: Season 1,2
Argentina,AR,2024-03-03,TV,7,Wrong Side of the Tracks,Wrong Side of the Tracks: Season 1,10
Argentina,AR,2024-03-03,TV,8,The Tourist,The Tourist: Season 1,5
Argentina,AR,2024-03-03,TV,9,Wrong Side of the Tracks,Wrong Side of the Tracks: Season 2,7
Argentina,AR,2024-03-03,TV,10,Griselda,Griselda: Limited Series,6
Argentina,AR,2024-02-25,Films,1,The Abyss,N/A,2
Argentina,AR,2024-02-25,Films,2,Through My Window 3: Looking at You,N/A,1
Argentina,AR,2024-02-25,Films,3,Top Gun: Maverick,N/A,1
Argentina,AR,2024-02-25,Films,4,Mea Culpa,N/A,1
Argentina,AR,2024-02-25,Films,5,Despicable Me 3,N/A,3
Argentina,AR,2024-02-25,Films,6,Einstein and the Bomb,N/A,2
Argentina,AR,2024-02-25,Films,7,Minions,N/A,3
Argentina,AR,2024-02-25,Films,8,Kill Me If You Dare,N/A,1
Argentina,AR,2024-02-25,Films,9,Despicable Me 2,N/A,3
Argentina,AR,2024-02-25,Films,10,Bhakshak,N/A,2
Argentina,AR,2024-02-25,TV,1,Avatar The Last Airbender,Avatar The Last Airbender: Season 1,1
Argentina,AR,2024-02-25,TV,2,Wrong Side of the Tracks,Wrong Side of the Tracks: Season 3,1
Argentina,AR,2024-02-25,TV,3,Alpha Males,Alpha Males: Season 2,3
Argentina,AR,2024-02-25,TV,4,One Day,One Day: Limited Series,3
Argentina,AR,2024-02-25,TV,5,The Tourist,The Tourist: Season 1,4
Argentina,AR,2024-02-25,TV,6,Warrior,Warrior: Season 1,1
Argentina,AR,2024-02-25,TV,7,Griselda,Griselda: Limited Series,5
Argentina,AR,2024-02-25,TV,8,Alpha Males,Alpha Males: Season 1,8
Argentina,AR,2024-02-25,TV,9,"Ready, Set, Love","Ready, Set, Love: Season 1",1
Argentina,AR,2024-02-25,TV,10,House of Ninjas,House of Ninjas: Season 1,2
Argentina,AR,2024-02-18,Films,1,Despicable Me 3,N/A,2
Argentina,AR,2024-02-18,Films,2,Ashes,N/A,2
Argentina,AR,2024-02-18,Films,3,"Lover, Stalker, Killer",N/A,1
Argentina,AR,2024-02-18,Films,4,Players,N/A,1
Argentina,AR,2024-02-18,Films,5,The Abyss,N/A,1
Argentina,AR,2024-02-18,Films,6,Einstein and the Bomb,N/A,1
Argentina,AR,2024-02-18,Films,7,Minions,N/A,2
Argentina,AR,2024-02-18,Films,8,Despicable Me 2,N/A,2
Argentina,AR,2024-02-18,Films,9,Society of the Snow,N/A,7
Argentina,AR,2024-02-18,Films,10,Bhakshak,N/A,1
Argentina,AR,2024-02-18,TV,1,The Tourist,The Tourist: Season 1,3
Argentina,AR,2024-02-18,TV,2,Alpha Males,Alpha Males: Season 2,2
Argentina,AR,2024-02-18,TV,3,Griselda,Griselda: Limited Series,4
Argentina,AR,2024-02-18,TV,4,One Day,One Day: Limited Series,2
Argentina,AR,2024-02-18,TV,5,Alpha Males,Alpha Males: Season 1,7
Argentina,AR,2024-02-18,TV,6,Baby Bandito,Baby Bandito: Season 1,3
Argentina,AR,2024-02-18,TV,7,Regular Show,Regular Show: Season 1,2
Argentina,AR,2024-02-18,TV,8,Fool Me Once,Fool Me Once: Limited Series,7
Argentina,AR,2024-02-18,TV,9,"House, M.D.","House, M.D.: Season 1",2
Argentina,AR,2024-02-18,TV,10,House of Ninjas,House of Ninjas: Season 1,1
Argentina,AR,2024-02-11,Films,1,Despicable Me 3,N/A,1
Argentina,AR,2024-02-11,Films,2,Despicable Me 2,N/A,1
Argentina,AR,2024-02-11,Films,3,Minions,N/A,1
Argentina,AR,2024-02-11,Films,4,Orion and the Dark,N/A,2
Argentina,AR,2024-02-11,Films,5,Despicable Me,N/A,1
Argentina,AR,2024-02-11,Films,6,Society of the Snow,N/A,6
Argentina,AR,2024-02-11,Films,7,Ashes,N/A,1
Argentina,AR,2024-02-11,Films,8,Sniper: Reloaded,N/A,1
Argentina,AR,2024-02-11,Films,9,El fútbol o yo,N/A,1
Argentina,AR,2024-02-11,Films,10,Wer,N/A,1
Argentina,AR,2024-02-11,TV,1,The Tourist,The Tourist: Season 1,2
Argentina,AR,2024-02-11,TV,2,Griselda,Griselda: Limited Series,3
Argentina,AR,2024-02-11,TV,3,Baby Bandito,Baby Bandito: Season 1,2
Argentina,AR,2024-02-11,TV,4,One Day,One Day: Limited Series,1
Argentina,AR,2024-02-11,TV,5,Fool Me Once,Fool Me Once: Limited Series,6
Argentina,AR,2024-02-11,TV,6,"House, M.D.","House, M.D.: Season 1",1
Argentina,AR,2024-02-11,TV,7,Regular Show,Regular Show: Season 1,1
Argentina,AR,2024-02-11,TV,8,Alexander: The Making of a God,Alexander: The Making of a God: Season 1,2
Argentina,AR,2024-02-11,TV,9,Alpha Males,Alpha Males: Season 2,1
